Overhead1,Overhead2,Command,Object,Symbol,Layer,Layer2,Layer3,Overhead1-Overhead2,Overhead1-Overhead2,,CPU of centertopology:(all)172.37%,CPU with center topology,CPU with direct link (all)55.06%,CPU of 0Mbps,CPU1-CPU2
0.03%,0%,thread_FH,libc-2.27.so,__libc_enable_asynccancel,PHY,LOW PHY,,-0.02%,,,172.37%,0.05%,55.06%,0.00%,0.05%
0.03%,0%,thread_FH,[kernel.kallsyms],mutex_lock,PHY,LOW PHY,,-0.02%,,,172.37%,0.05%,55.06%,0.00%,0.05%
0.03%,0%,Tpool2_-1,libldpc.so,nrLDPC_bnProcPc,PHY,HIGH PHY,LDPC,-0.02%,,,172.37%,0.05%,55.06%,0.00%,0.05%
0.03%,0%,thread_FH,[kernel.kallsyms],skb_release_head_state,PHY,LOW PHY,,-0.02%,,,172.37%,0.05%,55.06%,0.00%,0.05%
0.03%,0%,thread_FH,librfsimulator.so,pthread_mutex_lock@plt,PHY,LOW PHY,,-0.02%,,,172.37%,0.05%,55.06%,0.00%,0.05%
0.03%,0.11%,thread_FH,[kernel.kallsyms],sock_poll,PHY,LOW PHY,,,-0.08%,,172.37%,0.05%,55.06%,0.06%,-0.01%
0.03%,0.02%,thread_FH,[kernel.kallsyms],sys_epoll_wait,PHY,LOW PHY,,0.01%,,,172.37%,0.05%,55.06%,0.01%,0.04%
0.03%,0%,thread_FH,libpthread-2.27.so,recv,PHY,LOW PHY,,0.01%,,,172.37%,0.05%,55.06%,0.00%,0.05%
0.03%,0.08%,thread_FH,nr-softmodem,rx_rf,PHY,LOW PHY,,,-0.05%,,172.37%,0.05%,55.06%,0.04%,0.01%
0.03%,0.05%,thread_FH,[kernel.kallsyms],__local_bh_enable_ip,PHY,LOW PHY,,,-0.02%,,172.37%,0.05%,55.06%,0.03%,0.02%
0.03%,0%,feptx,libpthread-2.27.so,pthread_cond_signal@@GLIBC_2.3.2,PHY,LOW PHY,,-0.02%,,,172.37%,0.05%,55.06%,0.00%,0.05%
0.03%,0%,Tpool1_-1,libldpc.so,ldpc_BG2_Zc88_byte,PHY,HIGH PHY,LDPC,-0.02%,,,172.37%,0.05%,55.06%,0.00%,0.05%
0.03%,0.02%,Tpool3_-1,libdfts.so,idft2048,PHY,LOW PHY,DFT,0.01%,,,172.37%,0.05%,55.06%,0.01%,0.04%
0.03%,0%,TASK_RRC_GNB,[kernel.kallsyms],update_curr_rt,RRC,,,0.01%,,,172.37%,0.05%,55.06%,0.00%,0.05%
0.03%,0%,thread_FH,[kernel.kallsyms],tcp_ack,PHY,LOW PHY,,0.01%,,,172.37%,0.05%,55.06%,0.00%,0.05%
0.03%,0.03%,Tpool3_-1,libldpc.so,nrLDPC_decoder_core.isra.1,PHY,HIGH PHY,LDPC,0.00%,,,172.37%,0.05%,55.06%,0.02%,0.04%
0.03%,0%,thread_FH,[kernel.kallsyms],trigger_load_balance,PHY,LOW PHY,,0.00%,,,172.37%,0.05%,55.06%,0.00%,0.05%
0.03%,0.02%,thread_FH,[kernel.kallsyms],__indirect_thunk_start,PHY,LOW PHY,,0.01%,,,172.37%,0.05%,55.06%,0.01%,0.04%
0.03%,0%,Tpool3_-1,nr-softmodem,phy_procedures_gNB_TX,PHY,,,0.01%,,,172.37%,0.05%,55.06%,0.00%,0.05%
0.03%,0.09%,feprx,nr-softmodem,nr_slot_fep_ul,PHY,LOW PHY,,,-0.06%,,172.37%,0.05%,55.06%,0.05%,0.00%
