Overhead1,Overhead2,Command,Object,Symbol,Layer,Layer2,Layer3,Overhead1-Overhead2,Overhead1-Overhead2,,CPU1(all):72.26%,CPU1,CPU2(all)176.21%,CPU2,CPU1-CPU2
0%,0.01%,thread_FH,libusb-1.0.so.0.1.0,0x000000000000f212,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,RLC,queue,[.],RLC,,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,RLC,queue,[.],RLC,,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],get_futex_value_locked,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,TASK_GTPV1_U,[kernel.kallsyms],deactivate_task,NG,,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],set_next_task_idle,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],balance_runtime,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],account_system_index_time,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,TASK_GTPV1_U,[kernel.kallsyms],newidle_balance,NG,,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],__free_pages,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],__x86_indirect_thunk_rdx,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],futex_wait,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],get_page_from_freelist,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,libuhd.so.4.1.0,0x00000000006d360d,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,RLC,queue,[k],RLC,,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,libc-2.27.so,__poll,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],native_irq_return_iret,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,nr-softmodem,nr_slot_select,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,RLC,queue,[k],RLC,,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,libusb-1.0.so.0.1.0,0x0000000000004418,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,TASK_GTPV1_U,[kernel.kallsyms],__rcu_read_lock,NG,,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,libusb-1.0.so.0.1.0,0x0000000000009217,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,PDCP,data,[kernel.kallsyms],PDCP,,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,libusb-1.0.so.0.1.0,0x000000000000d271,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,TASK_GNB_APP,libc-2.27.so,vfprintf,SL,,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,libuhd.so.4.1.0,0x0000000000719e00,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,RLC,queue,[k],RLC,,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],__update_load_avg_cfs_rq,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,TASK_GTPV1_U,[kernel.kallsyms],update_rq_clock,NG,,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],__intel_pmu_enable_all.constprop.31,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],usb_hcd_link_urb_to_ep,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,libusb-1.0.so.0.1.0,0x0000000000004761,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],poll_select_set_timeout,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,libuhd.so.4.1.0,0x00000000008ef43a,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,RLC,queue,[.],RLC,,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],perf_log_itrace_start,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],__unqueue_futex,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],dma_direct_map_page,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,libusb-1.0.so.0.1.0,0x0000000000004775,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,libuhd.so.4.1.0,0x00000000008ee580,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,libusb-1.0.so.0.1.0,0x000000000000946d,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],cyc2ns_read_begin,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,libuhd.so.4.1.0,0x00000000008ef690,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],perf_pmu_nop_txn,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,libusb-1.0.so.0.1.0,0x000000000000c059,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,libusb-1.0.so.0.1.0,0x000000000000f28a,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,libusb-1.0.so.0.1.0,pthread_mutex_unlock@plt,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],prepare_transfer,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],__remove_hrtimer,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],perf_event_set_state.part.46,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],fput,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],x86_pmu_enable,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],__accumulate_pelt_segments,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],enqueue_hrtimer,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,libusb-1.0.so.0.1.0,0x00000000000096a0,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,libuhd.so.4.1.0,0x00000000008ef57b,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,libusb-1.0.so.0.1.0,0x0000000000009207,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],check_preempt_curr,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],kmalloc_slab,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,TASK_GTPV1_U,nr-softmodem,nr_sdap_get_entity,NG,,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],arch_perf_update_userpage,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,nr-softmodem,libuhd.so.4.1.0,[.],0x0000000000715e9b,PHY,LOW PHY,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,RLC,queue,[.],RLC,,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,libuhd.so.4.1.0,0x00000000006d37f9,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,libusb-1.0.so.0.1.0,0x00000000000043f5,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,TASK_GTPV1_U,[kernel.kallsyms],ttwu_do_wakeup,NG,,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],irq_work_run,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,[kernel.kallsyms],get_timespec64,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,thread_FH,libuhd.so.4.1.0,0x00000000002fe410,PHY,LOW PHY,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.01%,RLC,queue,[.],RLC,,,,-0.01%,,44.08%,0.00%,82.40%,0.01%,-0.01%
0%,0.00%,feprx,[kernel.kallsyms],x86_pmu_enable,PHY,LOW PHY,,,0.00%,,44.08%,0.00%,82.40%,0.00%,0.00%
0%,0.00%,RLC,queue,[k],RLC,,,,0.00%,,44.08%,0.00%,82.40%,0.00%,0.00%
0%,0.00%,pdcp_timer,[kernel.kallsyms],nmi_cpu_backtrace,PDCP,,,,0.00%,,44.08%,0.00%,82.40%,0.00%,0.00%
0%,0.00%,PDCP,data,[kernel.kallsyms],PDCP,,,,0.00%,,44.08%,0.00%,82.40%,0.00%,0.00%
0%,0.00%,feprx,[kernel.kallsyms],native_sched_clock,PHY,LOW PHY,,,0.00%,,44.08%,0.00%,82.40%,0.00%,0.00%
0%,0.00%,TASK_GTPV1_U,[kernel.kallsyms],nmi_cpu_backtrace,NG,,,,0.00%,,44.08%,0.00%,82.40%,0.00%,0.00%
0%,0.00%,feptx,[kernel.kallsyms],nmi_handle,PHY,LOW PHY,,,0.00%,,44.08%,0.00%,82.40%,0.00%,0.00%
0%,0.00%,RLC,queue,[k],RLC,,,,0.00%,,44.08%,0.00%,82.40%,0.00%,0.00%
0%,0.00%,thread_FH,[kernel.kallsyms],nmi_cpu_backtrace,PHY,LOW PHY,,,0.00%,,44.08%,0.00%,82.40%,0.00%,0.00%
0%,0.00%,feptx,[kernel.kallsyms],sched_clock,PHY,LOW PHY,,,0.00%,,44.08%,0.00%,82.40%,0.00%,0.00%
0%,0.00%,RLC,queue,[k],RLC,,,,0.00%,,44.08%,0.00%,82.40%,0.00%,0.00%
0%,0.00%,thread_FH,[kernel.kallsyms],perf_sample_event_took,PHY,LOW PHY,,,0.00%,,44.08%,0.00%,82.40%,0.00%,0.00%
0%,0.00%,TASK_GNB_APP,[kernel.kallsyms],native_sched_clock,SL,,,,0.00%,,44.08%,0.00%,82.40%,0.00%,0.00%
0%,0.00%,PDCP,data,[kernel.kallsyms],PDCP,,,,0.00%,,44.08%,0.00%,82.40%,0.00%,0.00%
0%,0.00%,TASK_GNB_APP,[kernel.kallsyms],intel_pmu_handle_irq,SL,,,,0.00%,,44.08%,0.00%,82.40%,0.00%,0.00%
0%,0.00%,feprx,[kernel.kallsyms],intel_bts_enable_local,PHY,LOW PHY,,,0.00%,,44.08%,0.00%,82.40%,0.00%,0.00%
0%,0.00%,thread_FH,[kernel.kallsyms],intel_bts_enable_local,PHY,LOW PHY,,,0.00%,,44.08%,0.00%,82.40%,0.00%,0.00%
0%,0.00%,RLC,queue,[k],RLC,,,,0.00%,,44.08%,0.00%,82.40%,0.00%,0.00%
