Overhead1,Overhead2,Command,Object,Symbol,Layer,Layer2,Layer3,Overhead1-Overhead2,Overhead1-Overhead2,,CPU1(all):72.26%,CPU1,CPU2(all)176.21%,CPU2,CPU1-CPU2
0.08%,0%,thread_FH,[kernel.kallsyms],page_frag_free,PHY,LOW PHY,,0.08%,,,44.08%,0.04%,82.40%,0.00%,0.04%
0.08%,0.06%,thread_FH,[kernel.kallsyms],ctx_sched_in,PHY,LOW PHY,,0.02%,,,44.08%,0.04%,82.40%,0.05%,-0.01%
0.07%,0%,Tpool2_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,,0.07%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.07%,0%,feprx,[kernel.kallsyms],prepare_exit_to_usermode,PHY,LOW PHY,,0.07%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.07%,0.08%,RLC,queue,[.],RLC,,,,-0.01%,,44.08%,0.03%,82.40%,0.07%,-0.04%
0.07%,0.10%,TASK_GTPV1_U,[kernel.kallsyms],cpupri_set,NG,,,,-0.03%,,44.08%,0.03%,82.40%,0.08%,-0.05%
0.07%,0%,Tpool1_-1,nr-softmodem,nr_est_timing_advance_pusch,PHY,HIGH PHY,,0.07%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.07%,0%,Tpool3_-1,nr-softmodem,nr_deinterleaving_ldpc,PHY,HIGH PHY,LDPC,0.07%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.07%,0.08%,RLC,queue,[.],RLC,,,,-0.01%,,44.08%,0.03%,82.40%,0.07%,-0.04%
0.07%,0%,Tpool1_-1,nr-softmodem,crc24a,PHY,HIGH PHY,,0.07%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.07%,0%,Tpool3_-1,nr-softmodem,allowed_xlsch_re_in_dmrs_symbol,PHY,HIGH PHY,,0.07%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.07%,0%,TASK_GTPV1_U,[kernel.kallsyms],udp_rmem_release,NG,,,0.07%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.07%,0.11%,RLC,queue,[k],RLC,,,,-0.04%,,44.08%,0.03%,82.40%,0.09%,-0.06%
0.07%,0.03%,TASK_GTPV1_U,[kernel.kallsyms],perf_event_update_userpage,NG,,,0.04%,,,44.08%,0.03%,82.40%,0.02%,0.01%
0.07%,0%,Tpool2_-1,nr-softmodem,dB_fixed_times10,PHY,LOW PHY,,0.07%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.07%,0.04%,thread_FH,nr-softmodem,ru_thread,PHY,LOW PHY,,0.03%,,,44.08%,0.03%,82.40%,0.03%,0.00%
0.07%,0.22%,thread_FH,[kernel.kallsyms],finish_task_switch,PHY,LOW PHY,,,-0.15%,,44.08%,0.03%,82.40%,0.18%,-0.15%
0.07%,0%,thread_FH,[kernel.kallsyms],ep_send_events_proc,PHY,LOW PHY,,0.07%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.07%,0%,Tpool1_-1,nr-softmodem,polar_encoder_fast,PHY,HIGH PHY,,0.07%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.07%,0.59%,thread_FH,[kernel.kallsyms],cpupri_set,PHY,LOW PHY,,,-0.52%,,44.08%,0.03%,82.40%,0.49%,-0.46%
0.07%,0%,Tpool0_-1,nr-softmodem,polar_encoder_fast,PHY,HIGH PHY,,0.07%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.07%,0%,TASK_RRC_GNB,[kernel.kallsyms],__fget,RRC,,,0.07%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.07%,0.24%,thread_FH,[kernel.kallsyms],fput_many,PHY,LOW PHY,,,-0.17%,,44.08%,0.03%,82.40%,0.20%,-0.17%
0.07%,0.02%,thread_FH,[kernel.kallsyms],check_stack_object,PHY,LOW PHY,,0.05%,,,44.08%,0.03%,82.40%,0.02%,0.01%
0.07%,0%,feptx,nr-softmodem,PHY_ofdm_mod.part.0,PHY,LOW PHY,,0.07%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.07%,0%,thread_FH,[kernel.kallsyms],tfm+0x80000009a692,PHY,LOW PHY,,0.07%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.07%,0.11%,RLC,queue,[k],RLC,,,,-0.04%,,44.08%,0.03%,82.40%,0.09%,-0.06%
0.06%,0%,pdcp_timer,[kernel.kallsyms],syscall_return_via_sysret,PDCP,,,0.06%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.06%,0.15%,thread_FH,[kernel.kallsyms],native_write_msr,PHY,LOW PHY,,,-0.09%,,44.08%,0.03%,82.40%,0.12%,-0.10%
0.06%,0%,feprx,[kernel.kallsyms],psi_task_change,PHY,LOW PHY,,0.06%,,,44.08%,0.03%,82.40%,0.00%,0.03%
0.06%,0.03%,TASK_RRC_GNB,[kernel.kallsyms],visit_groups_merge,RRC,,,0.03%,,,44.08%,0.03%,82.40%,0.02%,0.00%
