Overhead1,Overhead2,Command,Object,Symbol,Layer,Layer2,Layer3,PSCP of 4Mbps -PSCP of 0Mbps,PSCP of 4Mbps - PSCP of 0Mbps,,CPU of 4Mbps:(all)72.26%,CPU with 4Mbps,CPU with 0Mbps (all)176.21%,CPU of 0Mbps,CPU1-CPU2
0.03%,0.00%,thread_FH,[kernel.kallsyms],native_write_msr,PHY,LOW PHY,,0.03%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0%,Tpool0_-1,nr-softmodem,nr_rate_matching_ldpc,PHY,HIGH PHY,LDPC,0.03%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0.14%,RLC,queue,[.],RLC,,,,-0.11%,,141.55%,0.04%,67.23%,0.09%,-0.05%
0.03%,0%,Tpool0_-1,libdfts.so,idft1024,PHY,LOW PHY,DFT,-0.11%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0%,feptx,libpthread-2.27.so,__pthread_mutex_unlock,PHY,LOW PHY,,-0.11%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0%,Tpool1_-1,nr-softmodem,pf_dl,MAC,,,-0.11%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0%,feptx,libdfts.so,idft256@plt,PHY,LOW PHY,DFT,-0.11%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0.05%,TASK_GTPV1_U,[kernel.kallsyms],do_csum,NG,,,,-0.02%,,141.55%,0.04%,67.23%,0.03%,0.01%
0.03%,0%,thread_FH,nr-softmodem,rx_rf,PHY,LOW PHY,,-0.02%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0%,Tpool1_-1,nr-softmodem,nr_schedule_response,PHY,HIGH PHY,,-0.02%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0%,Tpool1_-1,nr-softmodem,nr_est_timing_advance_pusch,PHY,HIGH PHY,,-0.02%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0.09%,Tpool2_-1,nr-softmodem,nr_segmentation,PHY,HIGH PHY,,,-0.06%,,141.55%,0.04%,67.23%,0.06%,-0.02%
0.03%,0%,Tpool3_-1,nr-softmodem,nr_codeword_unscrambling,PHY,HIGH PHY,,-0.06%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0%,feprx,[kernel.kallsyms],futex_wake,PHY,LOW PHY,,-0.06%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0.06%,thread_FH,[kernel.kallsyms],__rcu_read_lock,PHY,LOW PHY,,,-0.03%,,141.55%,0.04%,67.23%,0.04%,0.00%
0.03%,0.01%,thread_FH,[kernel.kallsyms],aa_sk_perm,PHY,LOW PHY,,0.02%,,,141.55%,0.04%,67.23%,0.01%,0.04%
0.03%,0%,Tpool2_-1,libdfts.so,idft1024,PHY,LOW PHY,DFT,0.02%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0%,feprx,libpthread-2.27.so,__pthread_mutex_unlock,PHY,LOW PHY,,0.02%,,,141.55%,0.04%,67.23%,0.00%,0.04%
